博物馆博物编号,文物详细信息,文物名称,时间,朝代,出处,详情页地址,图片url
646,中国，清朝（1644-1911 年），乾隆年间（1736-95 年）.,桌屏,1736–95,中国 - 清朝,克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1941 年）,https://clevelandart.org/art/1941.595,https://openaccess-cdn.clevelandart.org/1941.595/1941.595_web.jpg
647,中国，清朝（1644-1911），乾隆年间（1736-95）.,桌屏,1736–95,中国 - 清朝,克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1941 年）,https://clevelandart.org/art/1941.595.1,https://openaccess-cdn.clevelandart.org/1941.595.1/1941.595.1_web.jpg
648,中国，清朝（1644-1911），乾隆年间（1736-95）.,桌屏,1736–95,中国 - 清朝,克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1941 年）,https://clevelandart.org/art/1941.595.2,https://openaccess-cdn.clevelandart.org/1941.595.2/1941.595.2_web.jpg
649,骨；总长：27.6 厘米（10 7/8 英寸）。克利夫兰艺术博物馆，John L. Severance 1942.1080 号赠品。,匙（耜）,公元前 1300-1100 年,中国 - 商朝,[],https://clevelandart.org/art/1942.1080,https://openaccess-cdn.clevelandart.org/1942.1080/1942.1080_web.jpg
650,中国，云南省，大理国（938-1253 年）。鎏金青铜；总长：23 厘米（9 1/16 英寸）。,阿弥陀佛,千禧年中期,中国 - 辽代,(1942年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1942年-）。,https://clevelandart.org/art/1942.1082,https://openaccess-cdn.clevelandart.org/1942.1082/1942.1082_web.jpg
651,中国，唐代（618-907 年）.打金錾刻细节；第一部分：12 x 10.4 厘米（4.3/4 x 4.1/8 英寸）；第二部分：13.3 x 10.7 厘米（5.1/4 x 4.3/16 英寸）.克利夫兰艺术博物馆，购自 J. H. Wade 基金 1942.1083,织品饰件：双凤,c.700s,中国 - 唐朝,(1942年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1942年-）。,https://clevelandart.org/art/1942.1083,https://openaccess-cdn.clevelandart.org/1942.1083/1942.1083_web.jpg
652,中国，唐代（618-907 年）.打金錾刻细节；总尺寸：12 x 10.4 厘米（4 3/4 x 4 1/8 英寸）.克利夫兰艺术博物馆，购自 J. H. Wade 基金 1942.1083.1,织品饰件：凤凰,c.700s,中国 - 唐朝,(1942年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1942年-）。,https://clevelandart.org/art/1942.1083.1,https://openaccess-cdn.clevelandart.org/1942.1083.1/1942.1083.1_web.jpg
653,中国，唐代（618-907 年）.打金錾刻细节；总尺寸：13.3 x 10.7 厘米（5 1/4 x 4 3/16 英寸）.克利夫兰艺术博物馆，购自 J. H. Wade 基金 1942.1083.2,织品饰件：凤凰,c.700s,中国 - 唐朝,(1942年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1942年-）。,https://clevelandart.org/art/1942.1083.2,https://openaccess-cdn.clevelandart.org/1942.1083.2/1942.1083.2_web.jpg
654,青铜嵌银；总长：10 厘米（3 15/16 英寸）。克利夫兰艺术博物馆，购自 J. H. Wade 基金 1942.1085, 戟旒,c.公元前 600-221 年,中国 - 周朝,(1942年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1942年-）。,https://clevelandart.org/art/1942.1085,https://openaccess-cdn.clevelandart.org/1942.1085/1942.1085_web.jpg
655,中国，东周时期（公元前 770-256 年），战国时期（公元前 475-221 年）。青铜镶嵌金银；总长：14 厘米（5 1/2 英寸）。, 柄装具,公元前 500-300 年,中国 - 周朝,(1942年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1942年-）。,https://clevelandart.org/art/1942.1086,https://openaccess-cdn.clevelandart.org/1942.1086/1942.1086_web.jpg
656,中国，东周（公元前 770-256 年），战国时期（公元前 475-221 年）。青铜镶嵌金银；总长：7.5 厘米（2 15/16 英寸）。, 柄装具,公元前 500-300 年,中国 - 周朝,克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1942 年）,https://clevelandart.org/art/1942.1169,https://openaccess-cdn.clevelandart.org/1942.1169/1942.1169_web.jpg
657,茶碗：Jian ware，960- 1279。中国福建省，宋代（960-1279）。,建盏,960– 1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.126,https://openaccess-cdn.clevelandart.org/1942.126/1942.126_web.jpg
658,茶碗：Jian ware，960-1279。中国福建省，宋代（960-1279）。石器；直径：9.3 厘米（3 11/16 英寸）；总长：4.8 厘米（1 7/8 英寸）。,建盏,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.127,https://openaccess-cdn.clevelandart.org/1942.127/1942.127_web.jpg
659,茶碗：Jian ware，960-1279.中国，近瑞昌，宋代（960-1279）.石器；直径：10.8厘米（4 1/4英寸）；总长：5.8厘米（2 5/16英寸）.克利夫兰艺术博物馆，John L. Severance收藏 1942.128,建盏,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.128,https://openaccess-cdn.clevelandart.org/1942.128/1942.128_web.jpg
660,茶碗：Jian ware，960-1279.中国，近瑞昌，宋代（960-1279）.石器；直径：12.8厘米（5 1/16英寸）；总长：7厘米（2 3/4英寸）.克利夫兰艺术博物馆，John L. Severance收藏 1942.129,建盏,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.129,https://openaccess-cdn.clevelandart.org/1942.129/1942.129_web.jpg
661,"茶碗：Jian ware, 960-1279.",建盏,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.131,https://openaccess-cdn.clevelandart.org/1942.131/1942.131_web.jpg
662,茶碗：盏，960-1279。中国，近瑞昌，宋代（960-1279）。石器，施 "兔毫 "釉；直径：12.4 厘米（4 7/8英寸）；总长：7.4 厘米（2 15/16英寸）。,建盏,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.132,https://openaccess-cdn.clevelandart.org/1942.132/1942.132_web.jpg
663,茶碗，960-1279.中国，近瑞昌，宋代（960-1279）.石器，建窑；总尺寸：6.5 x 12.2 厘米（2.9/16 x 4.13/16 英寸）.克利夫兰艺术博物馆，约翰-L-塞万斯收藏 1942.133,茶碗,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.133,https://openaccess-cdn.clevelandart.org/1942.133/1942.133_web.jpg
664,茶碗：Jian ware，960-1279。中国，近瑞昌，宋代（960-1279）。紫褐色石器，有铁滑石釉层；直径：9 厘米（3 9/16 英寸）；总长：4.6 厘米（1 13/16 英寸）。,建盏,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.134,https://openaccess-cdn.clevelandart.org/1942.134/1942.134_web.jpg
665,茶碗：Jian ware，960-1279.中国，近瑞昌，宋代（960-1279）.石器；直径：12.8厘米（5 1/16英寸）；总长：7.4厘米（2 15/16英寸）.克利夫兰艺术博物馆，John L. Severance收藏 1942.136,建盏,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.136,https://openaccess-cdn.clevelandart.org/1942.136/1942.136_web.jpg
666,中国，近瑞昌，宋代（960-1279年）。石器，施 "兔毫 "釉；总尺寸：9.6 x 17.2 厘米（3/4 x 6 3/4英寸）。,匣钵及碗残片,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.137,https://openaccess-cdn.clevelandart.org/1942.137/1942.137_web.jpg
667,"茶碗碎片：Jian ware, 960-1279.",建盏残片,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.138,https://openaccess-cdn.clevelandart.org/1942.138/1942.138_web.jpg
668,"茶碗碎片：Jian ware, 960-1279.",建盏残片,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1942.139,https://openaccess-cdn.clevelandart.org/1942.139/1942.139_web.jpg
669,墨饼，19世纪。瓷器。墨饼；整体：4.8 x 1.8 厘米（1 7/8 x 11/16 英寸）。克利夫兰艺术博物馆，亨利-W-肯特赠 1942.1506, 墨锭,1800s,中国艺术,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.1506,https://openaccess-cdn.clevelandart.org/1942.1506/1942.1506_web.jpg
670,墨饼，19世纪。瓷器。墨饼；整体：5.6 x 3.9 厘米（2 3/16 x 1 9/16 英寸）。克利夫兰艺术博物馆，亨利-W-肯特赠 1942.1507, 墨锭,1800s,中国艺术,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.1507,https://openaccess-cdn.clevelandart.org/1942.1507/1942.1507_web.jpg
671,墨饼，19世纪。瓷器。墨饼；整体：4.4 x 4 厘米（1 3/4 x 1 9/16 英寸）。克利夫兰艺术博物馆，亨利-W-肯特赠 1942.1508, 墨锭,1800s,中国艺术,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.1508,https://openaccess-cdn.clevelandart.org/1942.1508/1942.1508_web.jpg
672,墨饼，19世纪。瓷器。墨饼；整体：4.8 x 1.4 厘米（1 7/8 x 9/16 英寸）。克利夫兰艺术博物馆，亨利-W-肯特赠 1942.1509, 墨锭,1800s,中国艺术,亨利-沃森-肯特 [1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，哦(?-1942),https://clevelandart.org/art/1942.1509,https://openaccess-cdn.clevelandart.org/1942.1509/1942.1509_web.jpg
673,墨饼，19世纪。瓷器。墨饼；整体：4.8 x 1.4 厘米（1 7/8 x 9/16 英寸）。克利夫兰艺术博物馆，亨利-W-肯特赠 1942.1510, 墨锭,1800s,中国艺术,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.1510,https://openaccess-cdn.clevelandart.org/1942.1510/1942.1510_web.jpg
674,中国，明代（1368-1644）。墨饼；整体：2.4 x 8.8 厘米（15/16 x 3 7/16英寸）。克利夫兰艺术博物馆，亨利-W-肯特赠 1942.205, 墨锭,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1942.205,https://openaccess-cdn.clevelandart.org/1942.205/1942.205_web.jpg
675,中国，清朝（1644-1911），嘉庆年间（1795-1820）.漆丝盒；模印红、黄、蓝、绿四色墨；盒身：26.4 x 19.1 厘米（10 3/8 x 7 1/2 英寸）；盒盖：26.5 x 19.2 厘米（10 7/16 x 7 9/16 英寸）.克利夫兰艺术博物馆，亨利-W-肯特赠 1942.206,墨锭盒,1795–1820,中国 - 清朝,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.206,https://openaccess-cdn.clevelandart.org/1942.206/1942.206_web.jpg
676,中国，清朝（1644-1911），嘉庆年间（1795-1820）.漆丝盒；盒：26.4 x 19.1 厘米（10 3/8 x 7 1/2 英寸）；盒盖：26.5 x 19.2 厘米（10 7/16 x 7 9/16 英寸）.克利夫兰艺术博物馆，亨利-W-肯特赠 1942.206.A,墨锭盒,1795–1820,中国 - 清朝,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.206.a,https://openaccess-cdn.clevelandart.org/1942.206.a/1942.206.a_web.jpg
677,中国，清朝（1644-1911），嘉庆年间（1795-1820）.漆丝盒；盒身：26.4 x 19.1 厘米（10 3/8 x 7 1/2 英寸）；盒盖：26.5 x 19.2 厘米（10 7/16 x 7 9/16 英寸）.克利夫兰艺术博物馆，亨利-W-肯特赠 1942.206.B, 墨锭,1795–1820,中国 - 清朝,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.206.b,https://openaccess-cdn.clevelandart.org/1942.206.b/1942.206.b_web.jpg
678,中国，清朝（1644-1911），嘉庆年间（1795-1820）.模压绿墨；盒：26.4 x 19.1 厘米（10 3/8 x 7 1/2 英寸）；盖：26.5 x 19.2 厘米（10 7/16 x 7 9/16 英寸）.克利夫兰艺术博物馆，亨利-W-肯特赠 1942.206.C,墨饼盒：蟠龙形状的绿色墨锭,1795–1820,中国 - 清朝,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.206.c,https://openaccess-cdn.clevelandart.org/1942.206.c/1942.206.c_web.jpg
679,中国，清朝（1644-1911），嘉庆年间（1795-1820）.,墨饼盒：锦结形状的红色墨锭,1795–1820,中国 - 清朝,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.206.d,https://openaccess-cdn.clevelandart.org/1942.206.d/1942.206.d_web.jpg
680,中国，清朝（1644-1911），嘉庆年间（1795-1820）.,墨饼盒：佛教 "法轮 "形状的黄色墨锭,1795–1820,中国 - 清朝,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.206.e,https://openaccess-cdn.clevelandart.org/1942.206.e/1942.206.e_web.jpg
681,中国，清朝（1644-1911），嘉庆年间（1795-1820）.,墨饼盒：夔龙形红墨锭,1795–1820,中国 - 清朝,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.206.f,https://openaccess-cdn.clevelandart.org/1942.206.f/1942.206.f_web.jpg
682,中国，清朝（1644-1911），嘉庆年间（1795-1820）.,墨饼盒：桂冠形状的蓝色墨锭,1795–1820,中国 - 清朝,亨利-沃森-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.206.g,https://openaccess-cdn.clevelandart.org/1942.206.g/1942.206.g_web.jpg
683,中国，明代（1368-1644 年）。墨糕；直径：15 厘米（5.7/8 英寸）。克利夫兰艺术博物馆，亨利-W-肯特赠 1942.211,浮雕龙纹墨糕,1621,中国 - 明朝,亨利-W-肯特[1866-1948]，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1942-),https://clevelandart.org/art/1942.211,https://openaccess-cdn.clevelandart.org/1942.211/1942.211_web.jpg
684,中国，清朝（1644-1911 年），乾隆题跋、款识及年号（1736-95 年）。模印墨迹；整体：2.4 x 13.4 厘米（15/16 x 5 1/4 英寸）。克利夫兰艺术博物馆，亨利-W-肯特赠 1942.212,带有建筑设计的水墨蛋糕,1736–95,中国 - 清朝,亨利-W-肯特[1866-1948]，纽约州纽约市和俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，俄亥俄州克利夫兰市(1942-),https://clevelandart.org/art/1942.212,https://openaccess-cdn.clevelandart.org/1942.212/1942.212_web.jpg
685,中国，明代（1368-1644 年）。墨饼；整体：2.4 x 15 x 22.9 厘米（15/16 x 5 7/8 x 9 英寸）。克利夫兰艺术博物馆，亨利-W-肯特赠 1942.213,墨锭,1368–1644,中国 - 明朝,亨利-W-肯特[1866-1948]，纽约州纽约市和俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，俄亥俄州克利夫兰市(1942-),https://clevelandart.org/art/1942.213,https://openaccess-cdn.clevelandart.org/1942.213/1942.213_web.jpg
686,中国，明代（1368-1644 年）。模印墨水；直径：12.8 厘米（5.1/16 英寸）；整体：2 厘米（13/16 英寸）。,百子图墨锭,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1942.214,https://openaccess-cdn.clevelandart.org/1942.214/1942.214_web.jpg
687,中国，清朝（1644-1911 年），乾隆年间（1736-95 年），黄、蓝、黑、绿、红、棕、白、金模印墨迹；平均尺寸：3.9 x 8.3 厘米（1.9/16 x 3.1/4 英寸）：克利夫兰艺术博物馆，亨利-W-肯特赠 1942.215,西湖名胜诗词墨宝套装,1780–94,中国 - 清朝,亨利-W-肯特[1866-1948]，俄亥俄州克利夫兰，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，俄亥俄州克利夫兰(1942-),https://clevelandart.org/art/1942.215,https://openaccess-cdn.clevelandart.org/1942.215/1942.215_web.jpg
688,中国，清朝（1644-1911），乾隆年间（1736-95），棕色模印墨迹；总尺寸：7.4 x 4.2 厘米（2 15/16 x 1 5/8 英寸）。,西湖名胜图画诗文砚台,1780–94,中国 - 清朝,亨利-W-肯特[1866-1948]，俄亥俄州克利夫兰，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，俄亥俄州克利夫兰(1942-),https://clevelandart.org/art/1942.215.1,https://openaccess-cdn.clevelandart.org/1942.215.1/1942.215.1_web.jpg
689,中国，清朝（1644-1911），乾隆年间（1736-95）.模印黑墨；整体：3.9 x 3.9 厘米（1 9/16 x 1 9/16 英寸）.克利夫兰艺术博物馆，亨利-W-肯特赠 1942.215.10,西湖名胜图画诗文砚台,1780–94,中国 - 清朝,亨利-W-肯特[1866-1948]，俄亥俄州克利夫兰，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，俄亥俄州克利夫兰(1942-),https://clevelandart.org/art/1942.215.10,https://openaccess-cdn.clevelandart.org/1942.215.10/1942.215.10_web.jpg
690,中国，清朝（1644-1911），乾隆年间（1736-95）。,西湖名胜图画诗文砚台,1780–94,中国 - 清朝,亨利-W-肯特[1866-1948]，俄亥俄州克利夫兰，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，俄亥俄州克利夫兰(1942-),https://clevelandart.org/art/1942.215.2,https://openaccess-cdn.clevelandart.org/1942.215.2/1942.215.2_web.jpg
691,中国，清朝（1644-1911），乾隆年间（1736-95）。,西湖名胜图画诗文砚台,1780–94,中国 - 清朝,亨利-W-肯特[1866-1948]，俄亥俄州克利夫兰，赠送给克利夫兰艺术博物馆(?-1942)；克利夫兰艺术博物馆，俄亥俄州克利夫兰(1942-),https://clevelandart.org/art/1942.215.3,https://openaccess-cdn.clevelandart.org/1942.215.3/1942.215.3_web.jpg
